Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-05-10 00:00:00+00:00,0.0,750.73046875,0.0,428.3623046875,290834080,0.0,0.0
2021-05-11 00:00:00+00:00,428.4841613769531,580.3784790039062,346.1799011230469,364.78997802734375,1667242972,0.0,0.0
2021-05-12 00:00:00+00:00,366.9465637207031,387.5951843261719,255.49424743652344,255.49424743652344,1029335147,0.0,0.0
2021-05-13 00:00:00+00:00,255.6376495361328,344.9256286621094,252.07086181640625,300.0203857421875,886643614,0.0,0.0
2021-05-14 00:00:00+00:00,301.2485046386719,340.4146728515625,292.91217041015625,304.1851806640625,471523354,0.0,0.0
2021-05-15 00:00:00+00:00,304.0125732421875,304.7862243652344,240.2845001220703,246.02374267578125,426384680,0.0,0.0
2021-05-16 00:00:00+00:00,245.77157592773438,263.6380310058594,205.14984130859375,225.08676147460938,362549390,0.0,0.0
2021-05-17 00:00:00+00:00,225.36386108398438,225.36386108398438,185.54910278320312,195.94810485839844,364815932,0.0,0.0
2021-05-18 00:00:00+00:00,195.5773468017578,205.7008514404297,161.9789581298828,164.36183166503906,393520826,0.0,0.0
2021-05-19 00:00:00+00:00,164.01150512695312,178.69627380371094,94.29244995117188,124.2806167602539,652652876,0.0,0.0
2021-05-20 00:00:00+00:00,122.94561004638672,222.1440887451172,104.1538314819336,165.56182861328125,1766366511,0.0,0.0
2021-05-21 00:00:00+00:00,164.1954345703125,185.7506866455078,120.15440368652344,146.15252685546875,872795486,0.0,0.0
2021-05-22 00:00:00+00:00,146.20046997070312,167.4713134765625,125.53269958496094,145.95286560058594,504331090,0.0,0.0
2021-05-23 00:00:00+00:00,146.259765625,165.564208984375,120.99942779541016,144.61146545410156,611510637,0.0,0.0
2021-05-24 00:00:00+00:00,144.17318725585938,163.2674102783203,135.89891052246094,148.15953063964844,546965245,0.0,0.0
2021-05-25 00:00:00+00:00,147.78269958496094,156.4700469970703,123.84809875488281,134.03724670410156,431735498,0.0,0.0
